,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_rate,DEC_rate,Tmag,Nmag,r,r_rate
0,Wierzchos (C/2024 E1),2025-Jan-01 00:00,2460676.5,11.4,*,5.0,m,259.94912,40.56285,28.53571,0.256116,18.778,,5.313251771324,-17.2754602
1,Wierzchos (C/2024 E1),2025-Jan-06 00:00,2460681.5,11.4,*,5.0,m,261.19951,40.60234,28.36235,1.851157,18.732,,5.263257241561,-17.3474702
2,Wierzchos (C/2024 E1),2025-Jan-11 00:00,2460686.5,11.4,*,5.0,m,262.44021,40.69514,28.07399,3.445985,18.685,,5.213052939134,-17.4206731
3,Wierzchos (C/2024 E1),2025-Jan-16 00:00,2460691.5,11.4,*,5.0,,263.66734,40.84128,27.67936,5.045807,18.636,,5.162635373853,-17.4951033
4,Wierzchos (C/2024 E1),2025-Jan-21 00:00,2460696.5,11.4,*,5.0,,264.87696,41.04107,27.16858,6.657308,18.587,,5.11200095386,-17.5707966
5,Wierzchos (C/2024 E1),2025-Jan-26 00:00,2460701.5,11.4,*,5.0,,266.06448,41.29482,26.52709,8.27496,18.536,,5.061145982176,-17.6477902
6,Wierzchos (C/2024 E1),2025-Jan-31 00:00,2460706.5,11.4,*,5.0,m,267.22463,41.60252,25.74365,9.884777,18.484,,5.010066652951,-17.7261229
7,Wierzchos (C/2024 E1),2025-Feb-05 00:00,2460711.5,11.4,*,5.0,m,268.35174,41.96355,24.82009,11.466,18.43,,4.958759047279,-17.8058351
8,Wierzchos (C/2024 E1),2025-Feb-10 00:00,2460716.5,11.4,*,5.0,m,269.44043,42.37679,23.77111,13.01312,18.376,,4.907219128067,-17.8869687
9,Wierzchos (C/2024 E1),2025-Feb-15 00:00,2460721.5,11.4,*,5.0,,270.48551,42.8412,22.5964,14.53372,18.32,,4.855442733964,-17.9695677
10,Wierzchos (C/2024 E1),2025-Feb-20 00:00,2460726.5,11.4,*,5.0,,271.48119,43.35591,21.28133,16.02645,18.263,,4.803425574111,-18.0536777
11,Wierzchos (C/2024 E1),2025-Feb-25 00:00,2460731.5,11.4,*,5.0,,272.42071,43.91975,19.81147,17.47831,18.204,,4.751163223144,-18.1393465
12,Wierzchos (C/2024 E1),2025-Mar-02 00:00,2460736.5,11.4,*,5.0,m,273.2964,44.53099,18.17826,18.86571,18.145,,4.698651115357,-18.2266241
13,Wierzchos (C/2024 E1),2025-Mar-07 00:00,2460741.5,11.4,*,5.0,m,274.10023,45.18699,16.39395,20.16532,18.084,,4.64588453793,-18.3155631
14,Wierzchos (C/2024 E1),2025-Mar-12 00:00,2460746.5,11.4,*,5.0,m,274.82442,45.88476,14.47048,21.37743,18.022,,4.592858622967,-18.4062184
15,Wierzchos (C/2024 E1),2025-Mar-17 00:00,2460751.5,11.4,*,5.0,,275.46075,46.62136,12.39853,22.50157,17.959,,4.539568340368,-18.4986471
16,Wierzchos (C/2024 E1),2025-Mar-22 00:00,2460756.5,11.4,*,5.0,,275.99974,47.39358,10.16274,23.52261,17.895,,4.486008491871,-18.5929085
17,Wierzchos (C/2024 E1),2025-Mar-27 00:00,2460761.5,11.4,*,5.0,,276.43056,48.19752,7.751517,24.41285,17.83,,4.432173704076,-18.6890649
18,Wierzchos (C/2024 E1),2025-Apr-01 00:00,2460766.5,11.4,*,5.0,m,276.74129,49.02808,5.167774,25.13216,17.764,,4.378058420332,-18.7871814
19,Wierzchos (C/2024 E1),2025-Apr-06 00:00,2460771.5,11.4,*,5.0,m,276.91997,49.87901,2.43737,25.65576,17.697,,4.323656891675,-18.8873266
20,Wierzchos (C/2024 E1),2025-Apr-11 00:00,2460776.5,11.4,*,5.0,,276.95477,50.7436,-0.43186,25.977,17.629,,4.268963166439,-18.9895721
21,Wierzchos (C/2024 E1),2025-Apr-16 00:00,2460781.5,11.4,*,5.0,,276.83293,51.61469,-3.44604,26.0733,17.56,,4.213971080171,-19.0939932
22,Wierzchos (C/2024 E1),2025-Apr-21 00:00,2460786.5,11.4,*,5.0,,276.54055,52.4841,-6.6069,25.90533,17.49,,4.158674245609,-19.200669
23,Wierzchos (C/2024 E1),2025-Apr-26 00:00,2460791.5,11.4,*,5.0,m,276.0631,53.34205,-9.90268,25.41897,17.42,,4.103066041896,-19.3096824
24,Wierzchos (C/2024 E1),2025-May-01 00:00,2460796.5,11.4,*,5.0,m,275.38679,54.17686,-13.29,24.55704,17.348,,4.047139603016,-19.4211206
25,Wierzchos (C/2024 E1),2025-May-06 00:00,2460801.5,11.4,*,5.0,m,274.50055,54.97542,-16.7132,23.2963,17.277,,3.99088780493,-19.5350751
26,Wierzchos (C/2024 E1),2025-May-11 00:00,2460806.5,11.4,*,5.0,,273.39597,55.72406,-20.1386,21.61521,17.204,,3.934303251821,-19.6516422
