,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_rate,DEC_rate,Tmag,Nmag,r,r_rate
0,499P/Catalina,2024-Nov-01 00:00,2460615.5,19.6,23.0,4.5,5.0,0.03,*,m,51.55994,-30.69002,-31.1956,-50.7983,20.872,25.103,1.852998924089,-16.0187051
1,499P/Catalina,2024-Nov-06 00:00,2460620.5,19.6,23.0,4.5,5.0,0.03,*,m,50.19237,-32.28713,-36.636,-46.2556,20.743,25.005,1.806582405173,-16.1253112
2,499P/Catalina,2024-Nov-11 00:00,2460625.5,19.6,23.0,4.5,5.0,0.03,*,m,48.60986,-33.70455,-41.0882,-40.2796,20.618,24.92,1.759875685759,-16.2194341
3,499P/Catalina,2024-Nov-16 00:00,2460630.5,19.6,23.0,4.5,5.0,0.03,*,,46.85376,-34.89762,-44.3493,-33.0564,20.498,24.847,1.712918484902,-16.2984433
4,499P/Catalina,2024-Nov-21 00:00,2460635.5,19.6,23.0,4.5,5.0,0.03,*,,44.97642,-35.82801,-46.2584,-24.752,20.381,24.784,1.665758809113,-16.3592126
5,499P/Catalina,2024-Nov-26 00:00,2460640.5,19.6,23.0,4.5,5.0,0.03,*,,43.0425,-36.46355,-46.5951,-15.5888,20.267,24.729,1.618454517409,-16.398026
6,499P/Catalina,2024-Dec-01 00:00,2460645.5,19.6,23.0,4.5,5.0,0.03,*,m,41.12745,-36.7819,-45.2427,-5.91267,20.156,24.679,1.571075177638,-16.410468
7,499P/Catalina,2024-Dec-06 00:00,2460650.5,19.6,23.0,4.5,5.0,0.03,*,m,39.30988,-36.77319,-42.2444,3.893997,20.045,24.633,1.523704266027,-16.3912969
8,499P/Catalina,2024-Dec-11 00:00,2460655.5,19.6,23.0,4.5,5.0,0.03,*,m,37.66199,-36.43989,-37.8232,13.49367,19.934,24.588,1.476441758005,-16.3343015
9,499P/Catalina,2024-Dec-16 00:00,2460660.5,19.6,23.0,4.5,5.0,0.03,*,,36.24105,-35.79309,-32.3045,22.72731,19.82,24.542,1.429407153307,-16.2321452
10,499P/Catalina,2024-Dec-21 00:00,2460665.5,19.6,23.0,4.5,5.0,0.03,*,,35.08823,-34.84561,-25.9121,31.61816,19.704,24.495,1.382742965214,-16.0762014
