,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,targetname,datetime_str,datetime_jd,M1,M2,k1,k2,phasecoeff,solar_presence,lunar_presence,RA,DEC,RA_rate,DEC_rate,AZ,EL,airmass,magextinct,Tmag,Nmag,SubSol_ang,SubSol_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,alpha,sunTargetPA,velocityPA,ra_min,ra_max,dec_min,dec_max
0,1,33.47594,-30.30576,33.19951427,-30.01573534,33556480,203,10,1,36,2,zr,2927105233615,2927,292710523,1,object,o,2025-01-06 02:31:32.966+00,2460681.6052315,30.0,20250106104907,2.27282,2.327,0.400164,0.0,18.5344,1536.5,1540.5,33.19948358427,-30.01572559744,-0.0002813285277249,4.583038227264e-06,-4.531806289144e-06,-0.000281332045289,33.687867,-29.57460462,32.69456066,-29.58826705,32.70662606,-30.45524801,33.70888086,-30.441213,2025-03-07 02:31:32+00,1,499P/Catalina,2025-Jan-06 02:31:32.002,2460681.6052315,19.6,23.0,4.5,5.0,0.03,,m,33.469,-29.87477,-2.26923,59.28153,173.407836,26.555499,2.226,0.386,19.29,24.314,242.51,0.0,77.2991,-21.997,1.237172346943,-15.0785235,0.71591573722127,-8.1483915,52.5847,62.433,310.46,32.69456066,33.70888086,-30.45524801,-29.57460462
1,1,33.47594,-30.30576,33.19976504,-30.00014846,33554432,203,10,1,36,1,zg,2927146673615,2927,292714667,1,object,o,2025-01-06 03:31:13.66+00,2460681.6466782,30.0,20250106146331,2.55779,2.373,0.404893,0.0,19.6677,1536.5,1540.5,33.19975437207,-30.00015056872,-0.000281410238328,4.555824448734e-06,-4.471693628453e-06,-0.0002814224093939,33.68822178,-29.55900572,32.69513901,-29.57271785,32.70665562,-30.43978862,33.70883861,-30.42566491,2025-03-07 03:31:12+00,1,499P/Catalina,2025-Jan-06 03:31:12.996,2460681.6466782,19.6,23.0,4.5,5.0,0.03,,m,33.46826,-29.85833,-2.19401,59.69682,187.918602,26.426724,2.236,0.388,19.289,24.313,242.54,0.0,77.3345,-21.9905,1.236811440792,-15.0747339,0.71572165499524,-8.0657287,52.6084,62.461,310.476,32.69513901,33.70883861,-30.43978862,-29.55900572
2,1,33.57428,-28.24897,33.18460549,-28.96467004,33554432,203,14,4,55,1,zg,2930107385515,2930,293010738,1,object,o,2025-01-09 02:34:38.063+00,2460684.6073843,30.0,20250109107373,4.81481,2.314,0.734458,0.0,18.7673,1536.5,1540.5,33.18457660834,-28.96463461591,-0.0002813037087273,3.565744986547e-06,-3.644452048974e-06,-0.0002812923118368,33.66992662,-28.52466256,32.68646811,-28.53589113,32.69521658,-29.4026105,33.68640945,-29.39132135,2025-03-10 02:34:38+00,1,499P/Catalina,2025-Jan-09 02:34:38.004,2460684.6073843,19.6,23.0,4.5,5.0,0.03,,m,33.53216,-28.63642,2.554064,64.23655,176.889426,28.049461,2.117,0.367,19.205,24.275,244.46,0.0,79.9112,-21.4926,1.211276312572,-14.7843952,0.70151694699575,-8.5205049,54.2715,64.384,311.459,32.68646811,33.68640945,-29.4026105,-28.52466256
3,1,33.97261,-25.91556,33.37622236,-26.62390371,0,249,1,2,1,1,zg,2934168980115,2934,293416898,1,object,o,2025-01-13 04:03:20.301+00,2460688.6689815,30.0,20250113168970,3.32826,2.149,0.992976,0.0,18.7514,1536.5,1540.5,33.37628011053,-26.6238951207,-0.0002812740274966,5.196504367427e-06,-5.179584868355e-06,-0.0002812785772314,33.8490278,-26.1816508,32.88621788,-26.19800569,32.90008074,-27.06476589,33.87011373,-27.04839655,2025-03-14 04:03:20+00,1,499P/Catalina,2025-Jan-13 04:03:20.002,2460688.6689815,19.6,23.0,4.5,5.0,0.03,,m,33.78975,-26.80337,9.218224,71.59854,202.685226,26.168425,2.256,0.391,19.084,24.218,246.9,0.0,83.5932,-20.7063,1.177124820974,-14.3186635,0.68092451531167,-8.9235816,56.6175,66.816,312.526,32.88621788,33.87011373,-27.06476589,-26.1816508
4,1,33.97261,-25.91556,34.34081015,-26.60473823,0,249,1,1,0,2,zr,2935128490015,2935,293512849,1,object,o,2025-01-14 03:05:02.701+00,2460689.6284954,30.0,20250114128495,3.99433,1.908,-0.999594,0.0,18.77,1536.5,1540.5,34.3408396682,-26.60476018916,-0.0002811805502333,7.351969753429e-06,-7.226129378049e-06,-0.0002811749346229,34.80921333,-26.15968654,33.84706172,-26.18209483,33.86864812,-27.04843678,34.83814505,-27.02585393,2025-03-15 03:05:02+00,1,499P/Catalina,2025-Jan-14 03:05:02.003,2460689.6284954,19.6,23.0,4.5,5.0,0.03,,m,33.87985,-26.34317,10.53774,72.96784,189.381838,29.79223,2.005,0.348,19.055,24.204,247.44,0.0,84.4882,-20.502,1.169223326435,-14.1963802,0.67586524485828,-9.1362927,57.1824,67.356,312.72,33.84706172,34.83814505,-27.04843678,-26.15968654
5,1,33.97261,-25.91556,34.57501449,-25.57481899,0,250,8,3,30,1,zg,2937146973015,2937,293714697,1,object,o,2025-01-16 03:31:39.944+00,2460691.6469792,30.0,20250116146979,3.13151,1.922,-0.94713,0.0,19.3183,1536.5,1540.5,34.57508193726,-25.57481601574,-0.0002812431382588,-6.256364839932e-06,6.304204806842e-06,-0.0002812046863324,35.06300559,-25.15012032,34.1087759,-25.13140715,34.08392124,-25.99754276,35.04480974,-26.01683953,2025-03-17 03:31:39+00,1,499P/Catalina,2025-Jan-16 03:31:39.003,2460691.6469792,19.6,23.0,4.5,5.0,0.03,,m,34.10132,-25.33956,13.78045,76.73489,198.133373,29.098068,2.048,0.355,18.992,24.175,248.53,0.0,86.4025,-20.0476,1.152830319995,-13.9228736,0.66498689574268,-9.3654765,58.3882,68.451,313.051,34.08392124,35.06300559,-26.01683953,-25.13140715
6,1,33.97261,-25.91556,34.31409124,-25.56107286,0,249,5,4,19,1,zg,2937147921915,2937,293714792,1,object,o,2025-01-16 03:33:01.275+00,2460691.6479282,30.0,20250116147917,3.33624,2.041,-0.947103,0.0,19.191,1536.5,1540.5,34.31407439,-25.56101711929,-0.0002812455199127,7.671697056265e-06,-7.671592936171e-06,-0.0002812174723703,34.7779498,-25.11519657,33.82395273,-25.13883034,33.84660648,-26.00530985,34.80739731,-25.98156104,2025-03-17 03:33:00+00,1,499P/Catalina,2025-Jan-16 03:33:00.996,2460691.6479282,19.6,23.0,4.5,5.0,0.03,,m,34.10141,-25.33907,13.78718,76.74365,198.472724,29.008698,2.054,0.356,18.992,24.175,248.53,0.0,86.4034,-20.0474,1.152822688758,-13.9227397,0.66498176252287,-9.3636035,58.3888,68.451,313.051,33.82395273,34.80739731,-26.00530985,-25.11519657
7,1,33.97261,-25.91556,34.56993836,-25.57783831,0,250,8,3,30,2,zr,2937189643015,2937,293718964,1,object,o,2025-01-16 04:33:05.782+00,2460691.6896412,30.0,20250116189606,2.88215,2.239,-0.945174,0.0,19.2111,1536.5,1540.5,34.57002304928,-25.57788186938,-0.000281354259843,-6.277426173493e-06,6.326356757e-06,-0.0002813156742818,35.05822905,-25.15296451,34.10378107,-25.13445022,34.0785102,-26.00076809,35.03962159,-26.01980994,2025-03-17 04:33:05+00,1,499P/Catalina,2025-Jan-16 04:33:05.000,2460691.6896412,19.6,23.0,4.5,5.0,0.03,,m,34.10568,-25.31767,14.17733,77.11169,212.425876,23.605902,2.481,0.43,18.991,24.174,248.55,0.0,86.4434,-20.0376,1.152487332747,-13.9168488,0.66475711112234,-9.2860438,58.4146,68.474,313.058,34.0785102,35.05822905,-26.01980994,-25.13445022
8,1,34.65234,-23.28473,34.25569373,-23.63690814,0,249,9,4,35,1,zg,2940126563515,2940,294012656,1,object,o,2025-01-19 03:02:15.524+00,2460694.6265625,30.0,20250119126400,3.83184,1.96,-0.747532,0.0,19.6011,1536.5,1540.5,34.25569071966,-23.63692260964,-0.000281243301255,7.534117916252e-06,-7.554708526352e-06,-0.0002812147015175,34.71306593,-23.19128771,33.77319037,-23.21456246,33.79525252,-24.08106065,34.74121892,-24.05753041,2025-03-20 03:02:15+00,1,499P/Catalina,2025-Jan-19 03:02:15.000,2460694.6265625,19.6,23.0,4.5,5.0,0.03,,,34.51146,-23.76724,18.31088,82.211,193.661715,31.724884,1.895,0.329,18.897,24.129,250.04,0.0,89.3066,-19.3138,1.12924670426,-13.4768029,0.64833264348925,-9.8021112,60.2075,69.964,313.294,33.77319037,34.74121892,-24.08106065,-23.19128771
9,1,34.65234,-23.28473,34.23305284,-22.79412508,0,249,9,1,32,1,zg,2941147323215,2941,294114732,1,object,o,2025-01-20 03:32:09.529+00,2460695.6473264,30.0,20250120147292,3.79267,2.125,-0.659036,0.0,19.9557,1536.5,1540.5,34.23304857611,-22.79415217339,-0.0002812264816321,7.465908702261e-06,-7.427904914802e-06,-0.000281175310679,34.68768768,-22.34890889,33.75391715,-22.37182555,33.77528505,-23.23819863,34.71538312,-23.21502555,2025-03-21 03:32:09+00,1,499P/Catalina,2025-Jan-20 03:32:09.001,2460695.6473264,19.6,23.0,4.5,5.0,0.03,,,34.67338,-23.20249,19.9969,84.37362,202.388804,30.114682,1.986,0.344,18.863,24.113,250.54,0.0,90.323,-19.0444,1.121349640816,-13.3118189,0.64246785355017,-9.8899114,60.8426,70.455,313.297,33.75391715,34.71538312,-23.23819863,-22.34890889
